Day 314. Luke 22; John 13
Day 315. John 14-17
Day 316. Matthew 27; Mark 15
Day 317. Luke 23; John 18-19
Day 318. Matthew 28; Mark 16
Day 319. Luke 24; John 20-21
Day 320. Acts 1-3
Day 321. Acts 4-6
Day 322. Acts 7-8
Day 323. Acts 9-10
Day 324. Acts 11-12
Day 325. Acts 13-14
Day 326. James
Day 327. Acts 15-16
Day 328. Galatians 1-3
Day 329. Galatians 4-6
Day 330. Acts 17
Day 331. 1 & 2 Thessalonians
Day 332. Acts 18-19
Day 333. 1 Corinthians 1-4
Day 334. 1 Corinthians 5-8
Day 335. 1 Corinthians 9-11
Day 336. 1 Corinthians 12-14
Day 337. 1 Corinthians 15-16
Day 338. 2 Corinthians 1-4
Day 339. 2 Corinthians 5-9
Day 340. 2 Corinthians 10-13
Day 341. Romans 1-3
Day 342. Romans 4-7
Day 343. Romans 8-10
Day 344. Romans 11-13
Day 345. Romans 14-16
Day 346. Acts 20-23
Day 347. Acts 24-26
Day 348. Acts 27-28
Day 349. Colossians; Philemon
Day 350. Ephesians
Day 351. Philippians
Day 352. 1 Timothy
Day 353. Titus
Day 354. 1 Peter
Day 355. Hebrews 1-6
Day 356. Hebrews 7-10
Day 357. Hebrews 11-13
Day 358. 2 Timothy
Day 359. 2 Peter; Jude
Day 360. 1 John
Day 361. 2 John; 3 John
Day 362. Revelation 1-5
Day 363. Revelation 6-11
Day 364. Revelation 12-18
Day 365. Revelation 19-22